Product Name,Brand,Barcode
Yippee tricolour pasta,Sunfeast,8901725111168
Tata Tea Premium,Tata Tea,8901052010417
Red Label Tea Bags,Knightsbridge,4056489648529
Red label,Brooke Bond,8901030882579
Loose Leaf Black Tea,Red Label,8720608614820
tea red label,nhte,0793573999078
Loose black tea,Red Label,6281006856455
Red Label Loose Leaf Black Tea,Brooke Bond,0068400600336
Brooke Blond réd label tea powder,Brooke Bond,8720608632107
"Brooke Bond, Red Label Tea",Unilever India Exports Limited,0890103008303
Red Label LOOSE BLACK TEA,Brooke Bond,8720608616893
Wagh Bakari,Wagh Bakri,8901747000433
Instant Masala Tea (Unsweetened),Wagh Bakri,8901747003175
Black Tea,Wagh Bakri,8901747003687
premium black tea,Wagh Bakri,8901747000730
Masala Chai Tea Bags,Wagh Bakri,8901747003694
Instant Cardamom Tea,Wagh Bakri,8901747003199
Instant Ginger Tea,Wagh Bakri,8901747002956
Instant tea combo pack,Wagh Bakri,8901747002277
Instant Sugar-free Elaichi Tea,Wagh Bakri,8901747002987
Instant Saffron Tea,Wagh Bakri,8901747005599
Lipton Peche ice tea,Lipton,6111252422411
lipton yellow label tea x25,Lipton,8720608632633
Thé vert classique,Lipton,8720608026586
Thé vert myrtille et mûre x 20 sachets,Lipton,8720608025664
lipton-ice-tea,Lipton,6111252422985
Lipton Ice Tea saveur framboise,Lipton,3502110010674
Green tea,Lipton,5063270101766
Thé vert Menthe,Lipton,8720608026524
Thé glacé pêche pétillant,Lipton,3168930174431
Lipton Ice Tea saveur pêche 25 cl,Lipton,8722700009276
Duo saveur pêche abricot,Lipton,3168930170662
Hibiscus saveur framboise facon infusion glacee,Lipton,3168930170754
LIPTON TEA YELLOW,Lipton,8720608015450
Lipton Forest fruits,Lipton,5063270109557
Thé  noir earl grey bergamote,Lipton,5063270105856
Green iced tea,Lipton,8711327501461
Ice Tea Pêssego,Lipton,8711327587205
Nescafe classic,Nescafe,6111018903185
NESCAFE 3 in 1 Classic,Nescafe,8445291259331
Nescafe classic,Nestlé,6111018501503
Nescafe classic natural,Nestlé,8410100082028
Classic crema,Nestlé,7613033835018
Натуральный растворимый порошкообразный кофе NESCAFÉ® CLASSIC CREMA,Nescafe,4606272038763
NESCAFE CLASSIC 100G TIN EXP 10 / 18 (GR),Nescafe,5201219046109
Nescafé Classic Classic Mild Instantkaffee,Nescafe,7613031514793
Classic café soluble natural,Nescafe,7613031236480
Nescafe Classic coffee,Nestlé,7613033677724
Nescafe Classic Instant Coffee 100g Glass,Nescafe,7613031918867
Nescafi,Nescafe,4600680017099
Coffee Classic,Nescafe,7891000361252
Nescafé Clásico,Nescafe,7891000071823
Kaffee - Classic Kräftig - löslicher Kaffee,Nescafe,9002100112417
Кофе Crema,Nescafe,46247902
Nescafe classic 200g,Nescafe,8445290303080
Bru gold,Bru,8901030373930
Bru Coffee 3rs Sachet,Bru,8909106024199
BRU GOLD Edition,Fssai,4901038934656
Continental Xtra Coffee Powder,Continental,8901036163351
Cappuccino,Continental,8901036124246
Continental Malgudi Coffee  53',Continental,8901036393192
Horlicks classic Malt 500g,Horlicks,8901030976100
Horlicks Classic Malt,Horlicks,8901030976179
Horlicks Classic Malt,Horlics,8901030976056
Horlicks Classic Malt 500g Cbd,Hindustan Unilever Ltd,8901030795824
BournVita,Cadbury,7622201679187
Bournvita 1kg pet,Cadbury,7622201766283
Bournvita Biscuits 250,Cadbury,7622201781187
Bournvita 500G,Cadbury,7622210492081
"Cadbury Bournvita Original Refill,500G",Cadbury,8901233023748
Complan,Complan,5000218003195
Strawberry,Complan,8901542003028
PediaSure sabor vainilla,Abbott,8710428015853
Vanilla Shake,PediaSure,0070074690520
Pediasure chocolate,PediaSure,8710428015877
Pediasure,Abbott,8427030014012
PediaSure Complete,Abbott,0055325594956
Grow & Gain,PediaSure,0070074690490
Pediasure sabor vainilla,PediaSure,8427030012636
Pediasure drink,Abbott,8710428015976
